plate_pair,plate,well,ecotype,site,seed_family,cold_stratification,water_potential,num_germinated_seeds,num_tz_category1,num_tz_category2,num_tz_category3,num_tz_category4
10,10_A,10_A_C,Semelparous,S1,S1_11,Cold stratified,0,10,0,0,0,0
10,10_A,10_A_E,Semelparous,S3,S3_7,Not cold stratified,-1,0,8,0,0,0
10,10_A,10_A_F,Iteroparous,I2,I2_4,Not cold stratified,-1,1,2,0,0,4
10,10_B,10_B_A,Iteroparous,I3,I3_13,Cold stratified,-1,0,0,0,0,8
10,10_B,10_B_C,Iteroparous,I1,I1_19,Not cold stratified,-1,0,9,0,0,0
10,10_B,10_B_F,Semelparous,S2,S2_9,Not cold stratified,0,1,7,2,0,0
11,11_A,11_A_B,Semelparous,S1,S1_15,Cold stratified,-0.5,8,0,0,0,2
11,11_A,11_A_C,Iteroparous,I1,I1_4,Not cold stratified,-1,0,9,0,0,1
11,11_A,11_A_F,Semelparous,S3,S3_4,Cold stratified,-1,0,2,6,0,0
11,11_B,11_B_C,Iteroparous,I3,I3_10,Not cold stratified,-1,0,9,0,0,1
11,11_B,11_B_D,Iteroparous,I2,I2_1,Cold stratified,-1,0,9,0,0,1
11,11_B,11_B_E,Semelparous,S2,S2_8,Not cold stratified,-1,0,9,0,0,0
12,12_A,12_A_A,Semelparous,S3,S3_13,Cold stratified,-1,0,2,8,0,0
12,12_A,12_A_D,Iteroparous,I2,I2_11,Cold stratified,-0.5,3,0,0,0,2
12,12_B,12_B_C,Iteroparous,I3,I3_1,Not cold stratified,-1,0,5,2,0,0
12,12_B,12_B_D,Semelparous,S2,S2_10,Cold stratified,-1,0,1,7,1,1
12,12_B,12_B_E,Iteroparous,I1,I1_16,Cold stratified,-0.5,0,3,0,1,4
12,12_B,12_B_F,Semelparous,S1,S1_29,Cold stratified,-0.5,1,0,0,0,7
13,13_A,13_A_B,Iteroparous,I1,I1_14,Not cold stratified,-1,1,9,0,0,0
13,13_A,13_A_F,Iteroparous,I3,I3_19,Not cold stratified,-1,0,10,0,0,0
13,13_B,13_B_A,Semelparous,S1,S1_16,Not cold stratified,-1,0,0,0,0,0
13,13_B,13_B_B,Semelparous,S2,S2_4,Cold stratified,-1,0,0,10,0,0
13,13_B,13_B_D,Semelparous,S3,S3_20,Cold stratified,-1,0,8,0,0,0
13,13_B,13_B_E,Iteroparous,I2,I2_7,Not cold stratified,-1,3,6,0,0,0
14,14_A,14_A_A,Semelparous,S1,S1_10,Cold stratified,-1,0,3,0,0,5
14,14_B,14_B_A,Iteroparous,I1,I1_12,Cold stratified,0,7,0,0,0,0
14,14_B,14_B_B,Iteroparous,I3,I3_14,Cold stratified,-1,0,9,0,0,0
14,14_B,14_B_C,Semelparous,S3,S3_11,Cold stratified,0,2,0,5,1,1
14,14_B,14_B_D,Iteroparous,I2,I2_9,Not cold stratified,-1,3,5,0,0,0
14,14_B,14_B_E,Semelparous,S2,S2_5,Not cold stratified,0,3,5,0,0,2
15,15_A,15_A_A,Semelparous,S1,S1_12,Not cold stratified,-0.5,5,1,0,0,4
15,15_A,15_A_B,Semelparous,S2,S2_4,Not cold stratified,-0.5,0,8,1,0,1
15,15_A,15_A_C,Iteroparous,I3,I3_19,Cold stratified,-1,0,4,5,0,0
15,15_A,15_A_D,Iteroparous,I2,I2_7,Cold stratified,-0.5,9,0,0,0,1
15,15_B,15_B_E,Iteroparous,I1,I1_20,Not cold stratified,-0.5,2,4,0,0,0
15,15_B,15_B_F,Semelparous,S3,S3_14,Cold stratified,-1,0,1,1,4,0
16,16_A,16_A_D,Iteroparous,I3,I3_5,Cold stratified,0,3,2,0,0,0
16,16_A,16_A_E,Semelparous,S1,S1_16,Cold stratified,0,7,0,0,0,1
16,16_A,16_A_F,Semelparous,S3,S3_11,Cold stratified,-1,0,10,0,0,0
16,16_B,16_B_A,Semelparous,S2,S2_10,Cold stratified,0,8,0,0,1,1
16,16_B,16_B_B,Iteroparous,I1,I1_4,Cold stratified,-0.5,1,6,0,0,2
16,16_B,16_B_C,Iteroparous,I2,I2_13,Cold stratified,-0.5,4,6,0,0,1
17,17_A,17_A_B,Semelparous,S3,S3_11,Not cold stratified,-0.5,0,7,3,0,0
17,17_A,17_A_D,Semelparous,S1,S1_29,Not cold stratified,-1,0,5,0,0,3
17,17_A,17_A_E,Iteroparous,I1,I1_18,Not cold stratified,0,10,0,0,0,0
