plate_pair,plate,well,ecotype,site,seed_family,water_potential,cold_stratification,Date,Day
1,1_A,1_A_E,Iteroparous,I1,I1_2,-1,Not cold stratified,5/3/23,9
1,1_B,1_B_A,Semelparous,S1,S1_28,0,Not cold stratified,4/28/23,4
1,1_B,1_B_A,Semelparous,S1,S1_28,0,Not cold stratified,4/28/23,4
1,1_B,1_B_A,Semelparous,S1,S1_28,0,Not cold stratified,4/28/23,4
1,1_B,1_B_A,Semelparous,S1,S1_28,0,Not cold stratified,4/28/23,4
1,1_B,1_B_A,Semelparous,S1,S1_28,0,Not cold stratified,5/3/23,9
1,1_B,1_B_A,Semelparous,S1,S1_28,0,Not cold stratified,5/3/23,9
1,1_B,1_B_A,Semelparous,S1,S1_28,0,Not cold stratified,5/8/23,14
1,1_B,1_B_A,Semelparous,S1,S1_28,0,Not cold stratified,5/8/23,14
1,1_B,1_B_F,Iteroparous,I2,I2_5,0,Not cold stratified,4/28/23,4
1,1_B,1_B_F,Iteroparous,I2,I2_5,0,Not cold stratified,4/28/23,4
1,1_B,1_B_F,Iteroparous,I2,I2_5,0,Not cold stratified,4/28/23,4
1,1_B,1_B_F,Iteroparous,I2,I2_5,0,Not cold stratified,4/28/23,4
1,1_B,1_B_F,Iteroparous,I2,I2_5,0,Not cold stratified,5/1/23,7
1,1_B,1_B_F,Iteroparous,I2,I2_5,0,Not cold stratified,5/1/23,7
1,1_B,1_B_F,Iteroparous,I2,I2_5,0,Not cold stratified,5/1/23,7
1,1_B,1_B_F,Iteroparous,I2,I2_5,0,Not cold stratified,5/1/23,7
1,1_B,1_B_F,Iteroparous,I2,I2_5,0,Not cold stratified,5/1/23,7
10,10_A,10_A_C,Semelparous,S1,S1_11,0,Cold stratified,4/25/23,1
10,10_A,10_A_C,Semelparous,S1,S1_11,0,Cold stratified,4/25/23,1
10,10_A,10_A_C,Semelparous,S1,S1_11,0,Cold stratified,4/25/23,1
10,10_A,10_A_C,Semelparous,S1,S1_11,0,Cold stratified,4/25/23,1
10,10_A,10_A_C,Semelparous,S1,S1_11,0,Cold stratified,4/25/23,1
10,10_A,10_A_C,Semelparous,S1,S1_11,0,Cold stratified,4/26/23,2
10,10_A,10_A_C,Semelparous,S1,S1_11,0,Cold stratified,4/26/23,2
10,10_A,10_A_C,Semelparous,S1,S1_11,0,Cold stratified,4/26/23,2
10,10_A,10_A_C,Semelparous,S1,S1_11,0,Cold stratified,4/26/23,2
10,10_A,10_A_C,Semelparous,S1,S1_11,0,Cold stratified,4/26/23,2
10,10_A,10_A_F,Iteroparous,I2,I2_4,-1,Not cold stratified,5/5/23,11
10,10_B,10_B_F,Semelparous,S2,S2_9,0,Not cold stratified,5/15/23,21
11,11_A,11_A_B,Semelparous,S1,S1_15,-0.5,Cold stratified,4/26/23,2
11,11_A,11_A_B,Semelparous,S1,S1_15,-0.5,Cold stratified,4/26/23,2
11,11_A,11_A_B,Semelparous,S1,S1_15,-0.5,Cold stratified,4/26/23,2
11,11_A,11_A_B,Semelparous,S1,S1_15,-0.5,Cold stratified,4/26/23,2
11,11_A,11_A_B,Semelparous,S1,S1_15,-0.5,Cold stratified,4/28/23,4
11,11_A,11_A_B,Semelparous,S1,S1_15,-0.5,Cold stratified,4/28/23,4
11,11_A,11_A_B,Semelparous,S1,S1_15,-0.5,Cold stratified,4/28/23,4
11,11_A,11_A_B,Semelparous,S1,S1_15,-0.5,Cold stratified,5/1/23,7
12,12_A,12_A_D,Iteroparous,I2,I2_11,-0.5,Cold stratified,5/1/23,7
12,12_A,12_A_D,Iteroparous,I2,I2_11,-0.5,Cold stratified,5/1/23,7
12,12_A,12_A_D,Iteroparous,I2,I2_11,-0.5,Cold stratified,5/1/23,7
12,12_B,12_B_F,Semelparous,S1,S1_29,-0.5,Cold stratified,4/28/23,4
13,13_A,13_A_B,Iteroparous,I1,I1_14,-1,Not cold stratified,5/10/23,16
13,13_B,13_B_E,Iteroparous,I2,I2_7,-1,Not cold stratified,5/8/23,14
13,13_B,13_B_E,Iteroparous,I2,I2_7,-1,Not cold stratified,5/12/23,18
13,13_B,13_B_E,Iteroparous,I2,I2_7,-1,Not cold stratified,5/15/23,21
14,14_B,14_B_A,Iteroparous,I1,I1_12,0,Cold stratified,4/26/23,2
14,14_B,14_B_A,Iteroparous,I1,I1_12,0,Cold stratified,4/26/23,2
14,14_B,14_B_A,Iteroparous,I1,I1_12,0,Cold stratified,4/26/23,2
14,14_B,14_B_A,Iteroparous,I1,I1_12,0,Cold stratified,4/28/23,4
14,14_B,14_B_A,Iteroparous,I1,I1_12,0,Cold stratified,4/28/23,4
14,14_B,14_B_A,Iteroparous,I1,I1_12,0,Cold stratified,5/8/23,14
14,14_B,14_B_A,Iteroparous,I1,I1_12,0,Cold stratified,5/10/23,16
14,14_B,14_B_C,Semelparous,S3,S3_11,0,Cold stratified,4/28/23,4
14,14_B,14_B_C,Semelparous,S3,S3_11,0,Cold stratified,4/28/23,4
14,14_B,14_B_D,Iteroparous,I2,I2_9,-1,Not cold stratified,5/1/23,7
14,14_B,14_B_D,Iteroparous,I2,I2_9,-1,Not cold stratified,5/1/23,7
14,14_B,14_B_D,Iteroparous,I2,I2_9,-1,Not cold stratified,5/1/23,7
14,14_B,14_B_E,Semelparous,S2,S2_5,0,Not cold stratified,4/28/23,4
14,14_B,14_B_E,Semelparous,S2,S2_5,0,Not cold stratified,5/1/23,7
14,14_B,14_B_E,Semelparous,S2,S2_5,0,Not cold stratified,5/3/23,9
15,15_A,15_A_A,Semelparous,S1,S1_12,-0.5,Not cold stratified,5/1/23,7
15,15_A,15_A_A,Semelparous,S1,S1_12,-0.5,Not cold stratified,5/1/23,7
15,15_A,15_A_A,Semelparous,S1,S1_12,-0.5,Not cold stratified,5/1/23,7
15,15_A,15_A_A,Semelparous,S1,S1_12,-0.5,Not cold stratified,5/1/23,7
15,15_A,15_A_A,Semelparous,S1,S1_12,-0.5,Not cold stratified,5/1/23,7
15,15_A,15_A_D,Iteroparous,I2,I2_7,-0.5,Cold stratified,4/28/23,4
15,15_A,15_A_D,Iteroparous,I2,I2_7,-0.5,Cold stratified,4/28/23,4
15,15_A,15_A_D,Iteroparous,I2,I2_7,-0.5,Cold stratified,4/28/23,4
15,15_A,15_A_D,Iteroparous,I2,I2_7,-0.5,Cold stratified,4/28/23,4
15,15_A,15_A_D,Iteroparous,I2,I2_7,-0.5,Cold stratified,4/28/23,4
15,15_A,15_A_D,Iteroparous,I2,I2_7,-0.5,Cold stratified,4/28/23,4
15,15_A,15_A_D,Iteroparous,I2,I2_7,-0.5,Cold stratified,4/28/23,4
15,15_A,15_A_D,Iteroparous,I2,I2_7,-0.5,Cold stratified,5/1/23,7
15,15_A,15_A_D,Iteroparous,I2,I2_7,-0.5,Cold stratified,5/1/23,7
15,15_B,15_B_E,Iteroparous,I1,I1_20,-0.5,Not cold stratified,4/28/23,4
15,15_B,15_B_E,Iteroparous,I1,I1_20,-0.5,Not cold stratified,5/8/23,14
16,16_A,16_A_D,Iteroparous,I3,I3_5,0,Cold stratified,4/26/23,2
16,16_A,16_A_D,Iteroparous,I3,I3_5,0,Cold stratified,4/28/23,4
16,16_A,16_A_D,Iteroparous,I3,I3_5,0,Cold stratified,4/28/23,4
16,16_A,16_A_E,Semelparous,S1,S1_16,0,Cold stratified,4/26/23,2
16,16_A,16_A_E,Semelparous,S1,S1_16,0,Cold stratified,4/26/23,2
16,16_A,16_A_E,Semelparous,S1,S1_16,0,Cold stratified,4/26/23,2
16,16_A,16_A_E,Semelparous,S1,S1_16,0,Cold stratified,4/28/23,4
16,16_A,16_A_E,Semelparous,S1,S1_16,0,Cold stratified,4/28/23,4
16,16_A,16_A_E,Semelparous,S1,S1_16,0,Cold stratified,4/28/23,4
16,16_A,16_A_E,Semelparous,S1,S1_16,0,Cold stratified,5/5/23,11
16,16_B,16_B_A,Semelparous,S2,S2_10,0,Cold stratified,4/26/23,2
16,16_B,16_B_A,Semelparous,S2,S2_10,0,Cold stratified,4/26/23,2
16,16_B,16_B_A,Semelparous,S2,S2_10,0,Cold stratified,4/26/23,2
16,16_B,16_B_A,Semelparous,S2,S2_10,0,Cold stratified,4/26/23,2
16,16_B,16_B_A,Semelparous,S2,S2_10,0,Cold stratified,4/28/23,4
16,16_B,16_B_A,Semelparous,S2,S2_10,0,Cold stratified,5/3/23,9
16,16_B,16_B_A,Semelparous,S2,S2_10,0,Cold stratified,5/8/23,14
16,16_B,16_B_A,Semelparous,S2,S2_10,0,Cold stratified,5/10/23,16
16,16_B,16_B_B,Iteroparous,I1,I1_4,-0.5,Cold stratified,5/3/23,9
16,16_B,16_B_C,Iteroparous,I2,I2_13,-0.5,Cold stratified,4/28/23,4
16,16_B,16_B_C,Iteroparous,I2,I2_13,-0.5,Cold stratified,5/1/23,7
16,16_B,16_B_C,Iteroparous,I2,I2_13,-0.5,Cold stratified,5/1/23,7
16,16_B,16_B_C,Iteroparous,I2,I2_13,-0.5,Cold stratified,5/1/23,7
17,17_A,17_A_E,Iteroparous,I1,I1_18,0,Not cold stratified,4/26/23,2
17,17_A,17_A_E,Iteroparous,I1,I1_18,0,Not cold stratified,4/28/23,4
17,17_A,17_A_E,Iteroparous,I1,I1_18,0,Not cold stratified,4/28/23,4
17,17_A,17_A_E,Iteroparous,I1,I1_18,0,Not cold stratified,4/28/23,4
17,17_A,17_A_E,Iteroparous,I1,I1_18,0,Not cold stratified,4/28/23,4
17,17_A,17_A_E,Iteroparous,I1,I1_18,0,Not cold stratified,4/28/23,4
17,17_A,17_A_E,Iteroparous,I1,I1_18,0,Not cold stratified,5/1/23,7
17,17_A,17_A_E,Iteroparous,I1,I1_18,0,Not cold stratified,5/1/23,7
